parent_label,label,video_path,include_50,archive
Animals,4. Bird,Animals/4. Bird/MVI_2987.MOV,True,Animals_1of2.zip
Colours,55. White,Colours/55. White/MVI_5062.MOV,True,Colours_2of2.zip
Places,23. Court,Colours/55. White/MVI_5062.MOV,True,Colours_2of2.zip
Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_9932.MOV,True,Greetings_1of2.zip
Seasons,61. Summer,Seasons/61. Summer/MVI_5424.MOV,True,Seasons_1of1.zip
Places,19. House,Places/19. House/MVI_3594.MOV,True,Places_1of4.zip
Home,40. Paint,Home/40. Paint/MVI_4413.MOV,True,Home_3of4.zip
Adjectives,1. loud,Adjectives/1. loud/MVI_5336.MOV,True,Adjectives_1of8.zip
Jobs,84. Teacher,Jobs/84. Teacher/MVI_8866.MP4,True,Jobs_1of2.zip
Places,19. House,Places/19. House/MVI_3516.MOV,True,Places_1of4.zip
Greetings,55. Thank you,Greetings/55. Thank you/MVI_9985.MOV,True,Greetings_2of2.zip
Places,35. Bank,Places/35. Bank/MVI_3664.MOV,True,Places_4of4.zip
Adjectives,78. long,Adjectives/78. long/MVI_5108.MOV,True,Adjectives_4of8.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9538.MOV,True,Adjectives_1of8.zip
Colours,55. White,Colours/55. White/MVI_5209.MOV,True,Colours_2of2.zip
People,66. Brother,People/66. Brother/MVI_8631.MP4,True,People_2of5.zip
Colours,54. Black,Colours/54. Black/MVI_5059.MOV,True,Colours_2of2.zip
Seasons,64. Fall,Seasons/64. Fall/MVI_9135.MP4,True,Seasons_1of1.zip
Adjectives,94. good,Adjectives/94. good/MVI_5240.MOV,True,Adjectives_7of8.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9453.MOV,True,Adjectives_1of8.zip
Adjectives,97. dry,Adjectives/97. dry/MVI_5167.MOV,True,Adjectives_8of8.zip
Pronouns,40. I,Pronouns/40. I/MVI_9919.MOV,True,Pronouns_1of2.zip
Colours,47. Red,Colours/47. Red/MVI_5038.MOV,True,Colours_1of2.zip
Adjectives,3. happy,Adjectives/3. happy/MVI_9540.MOV,True,Adjectives_1of8.zip
Society,14. Election,Society/14. Election/MVI_8711.MP4,True,Society_2of3.zip
Clothes,44. Shoes,Clothes/44. Shoes/MVI_4204.MOV,True,Clothes_2of2.zip
Home,28. Window,Home/28. Window/MVI_4365.MOV,True,Home_1of4.zip
People,77. Boy,People/77. Boy/MVI_3814.MOV,True,People_4of5.zip
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_3238.MOV,True,Means_of_Transportation_1of2.zip
People,78. Girl,People/78. Girl/MVI_3818.MOV,True,People_4of5.zip
Jobs,91. Priest,Jobs/91. Priest/MVI_8887.MP4,True,Jobs_1of2.zip
Adjectives,83. big large,Adjectives/83. big large/MVI_5284.MOV,True,Adjectives_5of8.zip
Adjectives,1. loud,Adjectives/1. loud/MVI_9368.MOV,True,Adjectives_1of8.zip
Adjectives,84. small little,Adjectives/84. small little/MVI_9236.MOV,True,Adjectives_5of8.zip
Society,14. Election,Society/14. Election/MVI_4839.MOV,True,Society_2of3.zip
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_3850.MOV,True,Clothes_2of2.zip
People,66. Brother,People/66. Brother/MVI_4075.MOV,True,People_2of5.zip
Animals,1. Dog,Animals/1. Dog/MVI_2979.MOV,True,Animals_1of2.zip
People,66. Brother,People/66. Brother/MVI_4230.MOV,True,People_2of5.zip
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_3196.MOV,True,Means_of_Transportation_2of2.zip
Adjectives,91. new,Adjectives/91. new/MVI_5309.MOV,True,Adjectives_6of8.zip
Adjectives,84. small little,Adjectives/84. small little/MVI_5287.MOV,True,Adjectives_5of8.zip
Adjectives,94. good,Adjectives/94. good/MVI_9432.MOV,True,Adjectives_7of8.zip
Adjectives,97. dry,Adjectives/97. dry/MVI_9521.MOV,True,Adjectives_8of8.zip
Adjectives,87. hot,Adjectives/87. hot/MVI_9409.MOV,True,Adjectives_6of8.zip
Places,28. Store or Shop,Places/28. Store or Shop/MVI_3310.MOV,True,Places_3of4.zip
Pronouns,40. I,Pronouns/40. I/MVI_9879.MOV,True,Pronouns_1of2.zip
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_9947.MOV,True,Pronouns_2of2.zip
Electronics,53. Fan,Electronics/53. Fan/MVI_9097.MP4,True,Electronics_1of2.zip
Animals,5. Cow,Animals/5. Cow/MVI_4160.MOV,True,Animals_1of2.zip
Adjectives,83. big large,Adjectives/83. big large/MVI_9234.MOV,True,Adjectives_5of8.zip
People,78. Girl,People/78. Girl/MVI_8645.MP4,True,People_4of5.zip
People,66. Brother,People/66. Brother/MVI_3780.MOV,True,People_2of5.zip
Adjectives,84. small little,Adjectives/84. small little/MVI_5288.MOV,True,Adjectives_5of8.zip
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_8584.MP4,True,Means_of_Transportation_1of2.zip
People,61. Father,People/61. Father/MVI_4062.MOV,True,People_1of5.zip
People,61. Father,People/61. Father/MVI_3765.MOV,True,People_1of5.zip
Colours,54. Black,Colours/54. Black/MVI_4919.MOV,True,Colours_2of2.zip
Home,34. Pen,Home/34. Pen/MVI_4390.MOV,True,Home_2of4.zip
Places,35. Bank,Places/35. Bank/MVI_3336.MOV,True,Places_4of4.zip
Seasons,61. Summer,Seasons/61. Summer/MVI_9124.MP4,True,Seasons_1of1.zip
Adjectives,94. good,Adjectives/94. good/MVI_9349.MOV,True,Adjectives_7of8.zip
Seasons,61. Summer,Seasons/61. Summer/MVI_5420.MOV,True,Seasons_1of1.zip
People,77. Boy,People/77. Boy/MVI_3816.MOV,True,People_4of5.zip
People,78. Girl,People/78. Girl/MVI_3817.MOV,True,People_4of5.zip
People,78. Girl,People/78. Girl/MVI_5288.MOV,True,People_4of5.zip
Colours,47. Red,Colours/47. Red/MVI_8612.MP4,True,Colours_1of2.zip
Clothes,44. Shoes,Clothes/44. Shoes/MVI_4009.MOV,True,Clothes_2of2.zip
Home,40. Paint,Home/40. Paint/MVI_9051.MP4,True,Home_3of4.zip
Days_and_Time,86. Time,Days_and_Time/86. Time/MVI_4667.MOV,True,Days_and_Time_3of3.zip
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_3134.MOV,True,Means_of_Transportation_2of2.zip
Home,40. Paint,Home/40. Paint/MVI_4412.MOV,True,Home_3of4.zip
Clothes,37. Hat,Clothes/37. Hat/MVI_3986.MOV,True,Clothes_1of2.zip
Places,28. Store or Shop,Places/28. Store or Shop/MVI_3385.MOV,True,Places_3of4.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_5009.MOV,True,Days_and_Time_1of3.zip
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_3146.MOV,True,Means_of_Transportation_1of2.zip
Colours,54. Black,Colours/54. Black/MVI_5208.MOV,True,Colours_2of2.zip
Adjectives,3. happy,Adjectives/3. happy/MVI_5185.MOV,True,Adjectives_1of8.zip
People,77. Boy,People/77. Boy/MVI_5286.MOV,True,People_4of5.zip
Pronouns,40. I,Pronouns/40. I/MVI_9878.MOV,True,Pronouns_1of2.zip
Places,19. House,Places/19. House/MVI_3351.MOV,True,Places_1of4.zip
Greetings,48. Hello,Greetings/48. Hello/MVI_0032.MOV,True,Greetings_1of2.zip
Adjectives,97. dry,Adjectives/97. dry/MVI_9279.MOV,True,Adjectives_8of8.zip
Jobs,84. Teacher,Jobs/84. Teacher/MVI_4744.MOV,True,Jobs_1of2.zip
Places,35. Bank,Places/35. Bank/MVI_3423.MOV,True,Places_4of4.zip
People,78. Girl,People/78. Girl/MVI_3965.MOV,True,People_4of5.zip
Colours,55. White,Colours/55. White/MVI_4923.MOV,True,Colours_2of2.zip
Jobs,84. Teacher,Jobs/84. Teacher/MVI_4459.MOV,True,Jobs_1of2.zip
Adjectives,78. long,Adjectives/78. long/MVI_5266.MOV,True,Adjectives_4of8.zip
Pronouns,44. it,Pronouns/44. it/MVI_9898.MOV,True,Pronouns_1of2.zip
Seasons,61. Summer,Seasons/61. Summer/MVI_9123.MP4,True,Seasons_1of1.zip
People,61. Father,People/61. Father/MVI_3764.MOV,True,People_1of5.zip
Places,19. House,Places/19. House/MVI_3438.MOV,True,Places_1of4.zip
Adjectives,3. happy,Adjectives/3. happy/MVI_9296.MOV,True,Adjectives_1of8.zip
Days_and_Time,78. Year,Days_and_Time/78. Year/MVI_5491.MOV,True,Days_and_Time_2of3.zip
Adjectives,78. long,Adjectives/78. long/MVI_5188.MOV,True,Adjectives_4of8.zip
Adjectives,1. loud,Adjectives/1. loud/MVI_9290.MOV,True,Adjectives_1of8.zip
Places,23. Court,Adjectives/1. loud/MVI_9290.MOV,True,Adjectives_1of8.zip
Colours,47. Red,Colours/47. Red/MVI_5184.MOV,True,Colours_1of2.zip
Greetings,48. Hello,Greetings/48. Hello/MVI_0089.MOV,True,Greetings_1of2.zip
People,66. Brother,People/66. Brother/MVI_5243.MOV,True,People_2of5.zip
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_5022.MOV,True,Clothes_2of2.zip
Animals,4. Bird,Animals/4. Bird/MVI_3096.MOV,True,Animals_1of2.zip
Adjectives,87. hot,Adjectives/87. hot/MVI_9328.MOV,True,Adjectives_6of8.zip
Electronics,53. Fan,Electronics/53. Fan/MVI_4532.MOV,True,Electronics_1of2.zip
Places,28. Store or Shop,Electronics/53. Fan/MVI_4532.MOV,True,Electronics_1of2.zip
Places,23. Court,Places/23. Court/MVI_3453.MOV,True,Places_2of4.zip
Home,34. Pen,Home/34. Pen/MVI_4387.MOV,True,Home_2of4.zip
Places,19. House,Places/19. House/MVI_3595.MOV,True,Places_1of4.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_9293.MOV,True,Adjectives_1of8.zip
Adjectives,94. good,Adjectives/94. good/MVI_9431.MOV,True,Adjectives_7of8.zip
Adjectives,83. big large,Adjectives/83. big large/MVI_9318.MOV,True,Adjectives_5of8.zip
Days_and_Time,86. Time,Days_and_Time/86. Time/MVI_5079.MOV,True,Days_and_Time_3of3.zip
Seasons,61. Summer,Seasons/61. Summer/MVI_4565.MOV,True,Seasons_1of1.zip
Jobs,84. Teacher,Jobs/84. Teacher/MVI_8864.MP4,True,Jobs_1of2.zip
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_9976.MOV,True,Pronouns_2of2.zip
Animals,4. Bird,Animals/4. Bird/MVI_2989.MOV,True,Animals_1of2.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_5181.MOV,True,Adjectives_1of8.zip
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_4002.MOV,True,Clothes_2of2.zip
Clothes,37. Hat,Clothes/37. Hat/MVI_5008.MOV,True,Clothes_1of2.zip
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_3239.MOV,True,Means_of_Transportation_1of2.zip
Jobs,91. Priest,Jobs/91. Priest/MVI_8889.MP4,True,Jobs_1of2.zip
Colours,54. Black,Colours/54. Black/MVI_4215.MOV,True,Colours_2of2.zip
Places,35. Bank,Places/35. Bank/MVI_3422.MOV,True,Places_4of4.zip
Adjectives,97. dry,Adjectives/97. dry/MVI_5168.MOV,True,Adjectives_8of8.zip
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_4176.MOV,True,Means_of_Transportation_1of2.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_5010.MOV,True,Days_and_Time_1of3.zip
Adjectives,83. big large,Adjectives/83. big large/MVI_5123.MOV,True,Adjectives_5of8.zip
Adjectives,3. happy,Adjectives/3. happy/MVI_5264.MOV,True,Adjectives_1of8.zip
Electronics,54. Cell phone,Electronics/54. Cell phone/MVI_4538.MOV,True,Electronics_1of2.zip
Adjectives,78. long,Adjectives/78. long/MVI_9299.MOV,True,Adjectives_4of8.zip
Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_9933.MOV,True,Greetings_1of2.zip
People,61. Father,People/61. Father/MVI_4061.MOV,True,People_1of5.zip
People,77. Boy,People/77. Boy/MVI_5285.MOV,True,People_4of5.zip
Adjectives,79. short,Adjectives/79. short/MVI_5112.MOV,True,Adjectives_4of8.zip
Colours,55. White,Colours/55. White/MVI_8620.MP4,True,Colours_2of2.zip
Places,19. House,Places/19. House/MVI_3352.MOV,True,Places_1of4.zip
Colours,47. Red,Colours/47. Red/MVI_4018.MOV,True,Colours_1of2.zip
Places,28. Store or Shop,Places/28. Store or Shop/MVI_3386.MOV,True,Places_3of4.zip
Places,35. Bank,Places/35. Bank/MVI_3501.MOV,True,Places_4of4.zip
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_4178.MOV,True,Means_of_Transportation_1of2.zip
Colours,55. White,Colours/55. White/MVI_3890.MOV,True,Colours_2of2.zip
Places,23. Court,Places/23. Court/MVI_3534.MOV,True,Places_2of4.zip
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_5021.MOV,True,Clothes_2of2.zip
Greetings,48. Hello,Greetings/48. Hello/MVI_0037.MOV,True,Greetings_1of2.zip
People,77. Boy,People/77. Boy/MVI_4982.MOV,True,People_4of5.zip
Adjectives,78. long,Adjectives/78. long/MVI_5187.MOV,True,Adjectives_4of8.zip
Colours,55. White,Colours/55. White/MVI_3892.MOV,True,Colours_2of2.zip
Animals,5. Cow,Animals/5. Cow/MVI_2991.MOV,True,Animals_1of2.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_5446.MOV,True,Days_and_Time_1of3.zip
Clothes,37. Hat,Clothes/37. Hat/MVI_3688.MOV,True,Clothes_1of2.zip
People,66. Brother,People/66. Brother/MVI_3781.MOV,True,People_2of5.zip
People,77. Boy,People/77. Boy/MVI_4981.MOV,True,People_4of5.zip
Pronouns,44. it,Pronouns/44. it/MVI_0078.MOV,True,Pronouns_1of2.zip
Adjectives,97. dry,Adjectives/97. dry/MVI_5250.MOV,True,Adjectives_8of8.zip
Home,34. Pen,Home/34. Pen/MVI_4907.MOV,True,Home_2of4.zip
Jobs,84. Teacher,Jobs/84. Teacher/MVI_8865.MP4,True,Jobs_1of2.zip
Colours,47. Red,Colours/47. Red/MVI_5037.MOV,True,Colours_1of2.zip
Days_and_Time,78. Year,Days_and_Time/78. Year/MVI_9176.MP4,True,Days_and_Time_2of3.zip
Home,28. Window,Home/28. Window/MVI_4362.MOV,True,Home_1of4.zip
Seasons,64. Fall,Seasons/64. Fall/MVI_4579.MOV,True,Seasons_1of1.zip
Adjectives,87. hot,Adjectives/87. hot/MVI_5217.MOV,True,Adjectives_6of8.zip
Society,2. Death,Society/2. Death/MVI_8932.MP4,True,Society_1of3.zip
Adjectives,3. happy,Adjectives/3. happy/MVI_9455.MOV,True,Adjectives_1of8.zip
People,78. Girl,People/78. Girl/MVI_3966.MOV,True,People_4of5.zip
Animals,5. Cow,Animals/5. Cow/MVI_3097.MOV,True,Animals_1of2.zip
Electronics,54. Cell phone,Electronics/54. Cell phone/MVI_5392.MOV,True,Electronics_1of2.zip
Pronouns,40. I,Pronouns/40. I/MVI_0001.MOV,True,Pronouns_1of2.zip
People,66. Brother,People/66. Brother/MVI_5096.MOV,True,People_2of5.zip
Jobs,91. Priest,Jobs/91. Priest/MVI_5344.MOV,True,Jobs_1of2.zip
Jobs,91. Priest,Jobs/91. Priest/MVI_4488.MOV,True,Jobs_1of2.zip
Society,2. Death,Society/2. Death/MVI_8661.MP4,True,Society_1of3.zip
Adjectives,91. new,Adjectives/91. new/MVI_9500.MOV,True,Adjectives_6of8.zip
Adjectives,78. long,Adjectives/78. long/MVI_9460.MOV,True,Adjectives_4of8.zip
Society,14. Election,Society/14. Election/MVI_8713.MP4,True,Society_2of3.zip
Places,23. Court,Places/23. Court/MVI_3609.MOV,True,Places_2of4.zip
People,77. Boy,People/77. Boy/MVI_4110.MOV,True,People_4of5.zip
Home,40. Paint,Home/40. Paint/MVI_9053.MP4,True,Home_3of4.zip
Adjectives,91. new,Adjectives/91. new/MVI_5231.MOV,True,Adjectives_6of8.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_9142.MP4,True,Days_and_Time_1of3.zip
Adjectives,83. big large,Adjectives/83. big large/MVI_9316.MOV,True,Adjectives_5of8.zip
Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_9968.MOV,True,Greetings_1of2.zip
Adjectives,84. small little,Adjectives/84. small little/MVI_5286.MOV,True,Adjectives_5of8.zip
Adjectives,79. short,Adjectives/79. short/MVI_9221.MOV,True,Adjectives_4of8.zip
Seasons,64. Fall,Seasons/64. Fall/MVI_4577.MOV,True,Seasons_1of1.zip
Adjectives,78. long,Adjectives/78. long/MVI_9298.MOV,True,Adjectives_4of8.zip
Places,19. House,Places/19. House/MVI_3593.MOV,True,Places_1of4.zip
Adjectives,2. quiet,Adjectives/2. quiet/MVI_5182.MOV,True,Adjectives_1of8.zip
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_9909.MOV,True,Pronouns_2of2.zip
Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_0048.MOV,True,Greetings_1of2.zip
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_0022.MOV,True,Pronouns_2of2.zip
Seasons,64. Fall,Seasons/64. Fall/MVI_4999.MOV,True,Seasons_1of1.zip
Adjectives,97. dry,Adjectives/97. dry/MVI_5169.MOV,True,Adjectives_8of8.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_9143.MP4,True,Days_and_Time_1of3.zip
Adjectives,3. happy,Adjectives/3. happy/MVI_9542.MOV,True,Adjectives_1of8.zip
Days_and_Time,78. Year,Days_and_Time/78. Year/MVI_5048.MOV,True,Days_and_Time_2of3.zip
Clothes,44. Shoes,Clothes/44. Shoes/MVI_4888.MOV,True,Clothes_2of2.zip
Home,40. Paint,Home/40. Paint/MVI_4927.MOV,True,Home_3of4.zip
People,78. Girl,People/78. Girl/MVI_3967.MOV,True,People_4of5.zip
Adjectives,94. good,Adjectives/94. good/MVI_9512.MOV,True,Adjectives_7of8.zip
Adjectives,94. good,Adjectives/94. good/MVI_9511.MOV,True,Adjectives_7of8.zip
Places,28. Store or Shop,Places/28. Store or Shop/MVI_3635.MOV,True,Places_3of4.zip
Clothes,44. Shoes,Clothes/44. Shoes/MVI_4887.MOV,True,Clothes_2of2.zip
Clothes,37. Hat,Clothes/37. Hat/MVI_4867.MOV,True,Clothes_1of2.zip
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_4191.MOV,True,Means_of_Transportation_2of2.zip
Places,28. Store or Shop,Places/28. Store or Shop/MVI_3474.MOV,True,Places_3of4.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_5011.MOV,True,Days_and_Time_1of3.zip
Pronouns,44. it,Pronouns/44. it/MVI_9938.MOV,True,Pronouns_1of2.zip
Adjectives,3. happy,Adjectives/3. happy/MVI_9375.MOV,True,Adjectives_1of8.zip
People,77. Boy,People/77. Boy/MVI_5132.MOV,True,People_4of5.zip
Electronics,54. Cell phone,Electronics/54. Cell phone/MVI_9101.MP4,True,Electronics_1of2.zip
Electronics,54. Cell phone,Electronics/54. Cell phone/MVI_5391.MOV,True,Electronics_1of2.zip
Jobs,84. Teacher,Jobs/84. Teacher/MVI_5312.MOV,True,Jobs_1of2.zip
Days_and_Time,86. Time,Days_and_Time/86. Time/MVI_4670.MOV,True,Days_and_Time_3of3.zip
Society,2. Death,Society/2. Death/MVI_8664.MP4,True,Society_1of3.zip
Greetings,55. Thank you,Greetings/55. Thank you/MVI_0062.MOV,True,Greetings_2of2.zip
Adjectives,87. hot,Adjectives/87. hot/MVI_5295.MOV,True,Adjectives_6of8.zip
Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_0045.MOV,True,Greetings_1of2.zip
Greetings,51. Good Morning,Greetings/51. Good Morning/MVI_9970.MOV,True,Greetings_1of2.zip
Means_of_Transportation,16. train ticket,Means_of_Transportation/16. train ticket/MVI_3226.MOV,True,Means_of_Transportation_2of2.zip
Electronics,54. Cell phone,Electronics/54. Cell phone/MVI_9102.MP4,True,Electronics_1of2.zip
Colours,55. White,Colours/55. White/MVI_4922.MOV,True,Colours_2of2.zip
Places,19. House,Places/19. House/MVI_3513.MOV,True,Places_1of4.zip
Means_of_Transportation,11. Car,Means_of_Transportation/11. Car/MVI_8583.MP4,True,Means_of_Transportation_1of2.zip
Pronouns,44. it,Pronouns/44. it/MVI_0013.MOV,True,Pronouns_1of2.zip
Pronouns,46. you (plural),Pronouns/46. you (plural)/MVI_9946.MOV,True,Pronouns_2of2.zip
Clothes,42. T-Shirt,Clothes/42. T-Shirt/MVI_3851.MOV,True,Clothes_2of2.zip
Animals,4. Bird,Clothes/42. T-Shirt/MVI_3851.MOV,True,Clothes_2of2.zip
Animals,4. Bird,Animals/4. Bird/MVI_3095.MOV,True,Animals_1of2.zip
Days_and_Time,67. Monday,Days_and_Time/67. Monday/MVI_9144.MP4,True,Days_and_Time_1of3.zip
Adjectives,91. new,Adjectives/91. new/MVI_5229.MOV,True,Adjectives_6of8.zip
People,77. Boy,People/77. Boy/MVI_4983.MOV,True,People_4of5.zip
