sequence_path,class_id,folder_label,type
data\include50\augmented_train\MVI_9938_aug1.npy,20,44. it,augmented_1
data\include50\augmented_train\MVI_9938_aug2.npy,20,44. it,augmented_2
data\include50\augmented_train\MVI_9938_aug3.npy,20,44. it,augmented_3
data\include50\sequences\Adjectives\94. good\MVI_9350.npy,48,94. good,original
data\include50\augmented_train\MVI_9350_aug1.npy,48,94. good,augmented_1
data\include50\augmented_train\MVI_9350_aug2.npy,48,94. good,augmented_2
data\include50\augmented_train\MVI_9350_aug3.npy,48,94. good,augmented_3
data\include50\sequences\Adjectives\1. loud\MVI_9536.npy,1,1. loud,original
data\include50\augmented_train\MVI_9536_aug1.npy,1,1. loud,augmented_1
data\include50\augmented_train\MVI_9536_aug2.npy,1,1. loud,augmented_2
data\include50\augmented_train\MVI_9536_aug3.npy,1,1. loud,augmented_3
data\include50\sequences\People\66. Brother\MVI_3781.npy,34,66. Brother,original
data\include50\augmented_train\MVI_3781_aug1.npy,34,66. Brother,augmented_1
data\include50\augmented_train\MVI_3781_aug2.npy,34,66. Brother,augmented_2
data\include50\augmented_train\MVI_3781_aug3.npy,34,66. Brother,augmented_3
data\include50\sequences\Places\19. House\MVI_3352.npy,5,19. House,original
data\include50\augmented_train\MVI_3352_aug1.npy,5,19. House,augmented_1
data\include50\augmented_train\MVI_3352_aug2.npy,5,19. House,augmented_2
data\include50\augmented_train\MVI_3352_aug3.npy,5,19. House,augmented_3
data\include50\sequences\Home\40. Paint\MVI_8817.npy,17,40. Paint,original
data\include50\augmented_train\MVI_8817_aug1.npy,17,40. Paint,augmented_1
data\include50\augmented_train\MVI_8817_aug2.npy,17,40. Paint,augmented_2
data\include50\augmented_train\MVI_8817_aug3.npy,17,40. Paint,augmented_3
data\include50\sequences\People\61. Father\MVI_5082.npy,31,61. Father,original
data\include50\augmented_train\MVI_5082_aug1.npy,31,61. Father,augmented_1
data\include50\augmented_train\MVI_5082_aug2.npy,31,61. Father,augmented_2
data\include50\augmented_train\MVI_5082_aug3.npy,31,61. Father,augmented_3
data\include50\sequences\Clothes\37. Hat\MVI_4867.npy,14,37. Hat,original
data\include50\augmented_train\MVI_4867_aug1.npy,14,37. Hat,augmented_1
data\include50\augmented_train\MVI_4867_aug2.npy,14,37. Hat,augmented_2
data\include50\augmented_train\MVI_4867_aug3.npy,14,37. Hat,augmented_3
data\include50\sequences\Clothes\37. Hat\MVI_3690.npy,14,37. Hat,original
data\include50\augmented_train\MVI_3690_aug1.npy,14,37. Hat,augmented_1
data\include50\augmented_train\MVI_3690_aug2.npy,14,37. Hat,augmented_2
data\include50\augmented_train\MVI_3690_aug3.npy,14,37. Hat,augmented_3
data\include50\sequences\Means_of_Transportation\16. train ticket\MVI_3194.npy,4,16. train ticket,original
data\include50\augmented_train\MVI_3194_aug1.npy,4,16. train ticket,augmented_1
data\include50\augmented_train\MVI_3194_aug2.npy,4,16. train ticket,augmented_2
data\include50\augmented_train\MVI_3194_aug3.npy,4,16. train ticket,augmented_3
data\include50\sequences\Clothes\37. Hat\MVI_5007.npy,14,37. Hat,original
data\include50\augmented_train\MVI_5007_aug1.npy,14,37. Hat,augmented_1
data\include50\augmented_train\MVI_5007_aug2.npy,14,37. Hat,augmented_2
data\include50\augmented_train\MVI_5007_aug3.npy,14,37. Hat,augmented_3
data\include50\sequences\People\61. Father\MVI_3763.npy,31,61. Father,original
data\include50\augmented_train\MVI_3763_aug1.npy,31,61. Father,augmented_1
data\include50\augmented_train\MVI_3763_aug2.npy,31,61. Father,augmented_2
data\include50\augmented_train\MVI_3763_aug3.npy,31,61. Father,augmented_3
data\include50\sequences\Places\28. Store or Shop\MVI_3555.npy,9,28. Store or Shop,original
data\include50\augmented_train\MVI_3555_aug1.npy,9,28. Store or Shop,augmented_1
data\include50\augmented_train\MVI_3555_aug2.npy,9,28. Store or Shop,augmented_2
data\include50\augmented_train\MVI_3555_aug3.npy,9,28. Store or Shop,augmented_3
data\include50\sequences\Places\28. Store or Shop\MVI_3552.npy,9,28. Store or Shop,original
data\include50\augmented_train\MVI_3552_aug1.npy,9,28. Store or Shop,augmented_1
data\include50\augmented_train\MVI_3552_aug2.npy,9,28. Store or Shop,augmented_2
data\include50\augmented_train\MVI_3552_aug3.npy,9,28. Store or Shop,augmented_3
data\include50\sequences\Clothes\44. Shoes\MVI_4888.npy,19,44. Shoes,original
data\include50\augmented_train\MVI_4888_aug1.npy,19,44. Shoes,augmented_1
data\include50\augmented_train\MVI_4888_aug2.npy,19,44. Shoes,augmented_2
data\include50\augmented_train\MVI_4888_aug3.npy,19,44. Shoes,augmented_3
data\include50\sequences\Adjectives\78. long\MVI_9298.npy,39,78. long,original
data\include50\augmented_train\MVI_9298_aug1.npy,39,78. long,augmented_1
data\include50\augmented_train\MVI_9298_aug2.npy,39,78. long,augmented_2
data\include50\augmented_train\MVI_9298_aug3.npy,39,78. long,augmented_3
data\include50\sequences\Adjectives\79. short\MVI_9302.npy,40,79. short,original
data\include50\augmented_train\MVI_9302_aug1.npy,40,79. short,augmented_1
data\include50\augmented_train\MVI_9302_aug2.npy,40,79. short,augmented_2
data\include50\augmented_train\MVI_9302_aug3.npy,40,79. short,augmented_3
data\include50\sequences\Greetings\55. Thank you\MVI_0112.npy,29,55. Thank you,original
data\include50\augmented_train\MVI_0112_aug1.npy,29,55. Thank you,augmented_1
data\include50\augmented_train\MVI_0112_aug2.npy,29,55. Thank you,augmented_2
data\include50\augmented_train\MVI_0112_aug3.npy,29,55. Thank you,augmented_3
data\include50\sequences\Clothes\44. Shoes\MVI_3711.npy,19,44. Shoes,original
data\include50\augmented_train\MVI_3711_aug1.npy,19,44. Shoes,augmented_1
data\include50\augmented_train\MVI_3711_aug2.npy,19,44. Shoes,augmented_2
data\include50\augmented_train\MVI_3711_aug3.npy,19,44. Shoes,augmented_3
data\include50\sequences\Adjectives\1. loud\MVI_5177.npy,1,1. loud,original
data\include50\augmented_train\MVI_5177_aug1.npy,1,1. loud,augmented_1
data\include50\augmented_train\MVI_5177_aug2.npy,1,1. loud,augmented_2
data\include50\augmented_train\MVI_5177_aug3.npy,1,1. loud,augmented_3
data\include50\sequences\Animals\5. Cow\MVI_3016.npy,24,5. Cow,original
data\include50\augmented_train\MVI_3016_aug1.npy,24,5. Cow,augmented_1
data\include50\augmented_train\MVI_3016_aug2.npy,24,5. Cow,augmented_2
data\include50\augmented_train\MVI_3016_aug3.npy,24,5. Cow,augmented_3
data\include50\sequences\Colours\54. Black\MVI_3888.npy,27,54. Black,original
data\include50\augmented_train\MVI_3888_aug1.npy,27,54. Black,augmented_1
data\include50\augmented_train\MVI_3888_aug2.npy,27,54. Black,augmented_2
data\include50\augmented_train\MVI_3888_aug3.npy,27,54. Black,augmented_3
data\include50\sequences\Jobs\91. Priest\MVI_5345.npy,46,91. Priest,original
data\include50\augmented_train\MVI_5345_aug1.npy,46,91. Priest,augmented_1
data\include50\augmented_train\MVI_5345_aug2.npy,46,91. Priest,augmented_2
data\include50\augmented_train\MVI_5345_aug3.npy,46,91. Priest,augmented_3
data\include50\sequences\Clothes\44. Shoes\MVI_4204.npy,19,44. Shoes,original
data\include50\augmented_train\MVI_4204_aug1.npy,19,44. Shoes,augmented_1
data\include50\augmented_train\MVI_4204_aug2.npy,19,44. Shoes,augmented_2
data\include50\augmented_train\MVI_4204_aug3.npy,19,44. Shoes,augmented_3
data\include50\sequences\Days_and_Time\67. Monday\MVI_5009.npy,35,67. Monday,original
data\include50\augmented_train\MVI_5009_aug1.npy,35,67. Monday,augmented_1
data\include50\augmented_train\MVI_5009_aug2.npy,35,67. Monday,augmented_2
data\include50\augmented_train\MVI_5009_aug3.npy,35,67. Monday,augmented_3
data\include50\sequences\Society\14. Election\MVI_8713.npy,3,14. Election,original
data\include50\augmented_train\MVI_8713_aug1.npy,3,14. Election,augmented_1
data\include50\augmented_train\MVI_8713_aug2.npy,3,14. Election,augmented_2
data\include50\augmented_train\MVI_8713_aug3.npy,3,14. Election,augmented_3
data\include50\sequences\Jobs\84. Teacher\MVI_8866.npy,42,84. Teacher,original
data\include50\augmented_train\MVI_8866_aug1.npy,42,84. Teacher,augmented_1
data\include50\augmented_train\MVI_8866_aug2.npy,42,84. Teacher,augmented_2
data\include50\augmented_train\MVI_8866_aug3.npy,42,84. Teacher,augmented_3
data\include50\sequences\Adjectives\97. dry\MVI_5250.npy,49,97. dry,original
data\include50\augmented_train\MVI_5250_aug1.npy,49,97. dry,augmented_1
data\include50\augmented_train\MVI_5250_aug2.npy,49,97. dry,augmented_2
data\include50\augmented_train\MVI_5250_aug3.npy,49,97. dry,augmented_3
data\include50\sequences\People\66. Brother\MVI_4076.npy,34,66. Brother,original
data\include50\augmented_train\MVI_4076_aug1.npy,34,66. Brother,augmented_1
data\include50\augmented_train\MVI_4076_aug2.npy,34,66. Brother,augmented_2
data\include50\augmented_train\MVI_4076_aug3.npy,34,66. Brother,augmented_3
data\include50\sequences\Clothes\42. T-Shirt\MVI_4002.npy,18,42. T-Shirt,original
data\include50\augmented_train\MVI_4002_aug1.npy,18,42. T-Shirt,augmented_1
data\include50\augmented_train\MVI_4002_aug2.npy,18,42. T-Shirt,augmented_2
data\include50\augmented_train\MVI_4002_aug3.npy,18,42. T-Shirt,augmented_3
data\include50\sequences\Means_of_Transportation\16. train ticket\MVI_4192.npy,4,16. train ticket,original
data\include50\augmented_train\MVI_4192_aug1.npy,4,16. train ticket,augmented_1
data\include50\augmented_train\MVI_4192_aug2.npy,4,16. train ticket,augmented_2
data\include50\augmented_train\MVI_4192_aug3.npy,4,16. train ticket,augmented_3
data\include50\sequences\Colours\55. White\MVI_8620.npy,30,55. White,original
data\include50\augmented_train\MVI_8620_aug1.npy,30,55. White,augmented_1
data\include50\augmented_train\MVI_8620_aug2.npy,30,55. White,augmented_2
data\include50\augmented_train\MVI_8620_aug3.npy,30,55. White,augmented_3
data\include50\sequences\Days_and_Time\86. Time\MVI_5079.npy,44,86. Time,original
data\include50\augmented_train\MVI_5079_aug1.npy,44,86. Time,augmented_1
data\include50\augmented_train\MVI_5079_aug2.npy,44,86. Time,augmented_2
data\include50\augmented_train\MVI_5079_aug3.npy,44,86. Time,augmented_3
data\include50\sequences\Greetings\48. Hello\MVI_9982.npy,23,48. Hello,original
data\include50\augmented_train\MVI_9982_aug1.npy,23,48. Hello,augmented_1
data\include50\augmented_train\MVI_9982_aug2.npy,23,48. Hello,augmented_2
data\include50\augmented_train\MVI_9982_aug3.npy,23,48. Hello,augmented_3
data\include50\sequences\Animals\5. Cow\MVI_3074.npy,24,5. Cow,original
data\include50\augmented_train\MVI_3074_aug1.npy,24,5. Cow,augmented_1
data\include50\augmented_train\MVI_3074_aug2.npy,24,5. Cow,augmented_2
data\include50\augmented_train\MVI_3074_aug3.npy,24,5. Cow,augmented_3
data\include50\sequences\Electronics\54. Cell phone\MVI_5391.npy,28,54. Cell phone,original
data\include50\augmented_train\MVI_5391_aug1.npy,28,54. Cell phone,augmented_1
data\include50\augmented_train\MVI_5391_aug2.npy,28,54. Cell phone,augmented_2
data\include50\augmented_train\MVI_5391_aug3.npy,28,54. Cell phone,augmented_3
data\include50\sequences\Days_and_Time\67. Monday\MVI_9143.npy,35,67. Monday,original
data\include50\augmented_train\MVI_9143_aug1.npy,35,67. Monday,augmented_1
data\include50\augmented_train\MVI_9143_aug2.npy,35,67. Monday,augmented_2
data\include50\augmented_train\MVI_9143_aug3.npy,35,67. Monday,augmented_3
data\include50\sequences\Pronouns\44. it\MVI_0014.npy,20,44. it,original
data\include50\augmented_train\MVI_0014_aug1.npy,20,44. it,augmented_1
data\include50\augmented_train\MVI_0014_aug2.npy,20,44. it,augmented_2
data\include50\augmented_train\MVI_0014_aug3.npy,20,44. it,augmented_3
data\include50\sequences\Pronouns\40. I\MVI_0014.npy,16,40. I,original
data\include50\augmented_train\MVI_0014_aug1.npy,16,40. I,augmented_1
data\include50\augmented_train\MVI_0014_aug2.npy,16,40. I,augmented_2
data\include50\augmented_train\MVI_0014_aug3.npy,16,40. I,augmented_3
data\include50\sequences\Animals\4. Bird\MVI_3012.npy,15,4. Bird,original
data\include50\augmented_train\MVI_3012_aug1.npy,15,4. Bird,augmented_1
data\include50\augmented_train\MVI_3012_aug2.npy,15,4. Bird,augmented_2
data\include50\augmented_train\MVI_3012_aug3.npy,15,4. Bird,augmented_3
data\include50\sequences\Places\28. Store or Shop\MVI_3472.npy,9,28. Store or Shop,original
data\include50\augmented_train\MVI_3472_aug1.npy,9,28. Store or Shop,augmented_1
data\include50\augmented_train\MVI_3472_aug2.npy,9,28. Store or Shop,augmented_2
data\include50\augmented_train\MVI_3472_aug3.npy,9,28. Store or Shop,augmented_3
data\include50\sequences\Greetings\48. Hello\MVI_0030.npy,23,48. Hello,original
data\include50\augmented_train\MVI_0030_aug1.npy,23,48. Hello,augmented_1
data\include50\augmented_train\MVI_0030_aug2.npy,23,48. Hello,augmented_2
data\include50\augmented_train\MVI_0030_aug3.npy,23,48. Hello,augmented_3
data\include50\sequences\Animals\4. Bird\MVI_3094.npy,15,4. Bird,original
data\include50\augmented_train\MVI_3094_aug1.npy,15,4. Bird,augmented_1
data\include50\augmented_train\MVI_3094_aug2.npy,15,4. Bird,augmented_2
data\include50\augmented_train\MVI_3094_aug3.npy,15,4. Bird,augmented_3
data\include50\sequences\Means_of_Transportation\11. Car\MVI_3176.npy,2,11. Car,original
data\include50\augmented_train\MVI_3176_aug1.npy,2,11. Car,augmented_1
data\include50\augmented_train\MVI_3176_aug2.npy,2,11. Car,augmented_2
data\include50\augmented_train\MVI_3176_aug3.npy,2,11. Car,augmented_3
data\include50\sequences\Adjectives\79. short\MVI_5190.npy,40,79. short,original
data\include50\augmented_train\MVI_5190_aug1.npy,40,79. short,augmented_1
data\include50\augmented_train\MVI_5190_aug2.npy,40,79. short,augmented_2
data\include50\augmented_train\MVI_5190_aug3.npy,40,79. short,augmented_3
data\include50\sequences\Colours\47. Red\MVI_5184.npy,22,47. Red,original
data\include50\augmented_train\MVI_5184_aug1.npy,22,47. Red,augmented_1
data\include50\augmented_train\MVI_5184_aug2.npy,22,47. Red,augmented_2
data\include50\augmented_train\MVI_5184_aug3.npy,22,47. Red,augmented_3
data\include50\sequences\Home\34. Pen\MVI_8791.npy,12,34. Pen,original
data\include50\augmented_train\MVI_8791_aug1.npy,12,34. Pen,augmented_1
data\include50\augmented_train\MVI_8791_aug2.npy,12,34. Pen,augmented_2
data\include50\augmented_train\MVI_8791_aug3.npy,12,34. Pen,augmented_3
data\include50\sequences\Colours\47. Red\MVI_5186.npy,22,47. Red,original
data\include50\augmented_train\MVI_5186_aug1.npy,22,47. Red,augmented_1
data\include50\augmented_train\MVI_5186_aug2.npy,22,47. Red,augmented_2
data\include50\augmented_train\MVI_5186_aug3.npy,22,47. Red,augmented_3
data\include50\sequences\Means_of_Transportation\11. Car\MVI_3238.npy,2,11. Car,original
data\include50\augmented_train\MVI_3238_aug1.npy,2,11. Car,augmented_1
data\include50\augmented_train\MVI_3238_aug2.npy,2,11. Car,augmented_2
data\include50\augmented_train\MVI_3238_aug3.npy,2,11. Car,augmented_3
data\include50\sequences\Adjectives\84. small little\MVI_9320.npy,43,84. small little,original
data\include50\augmented_train\MVI_9320_aug1.npy,43,84. small little,augmented_1
data\include50\augmented_train\MVI_9320_aug2.npy,43,84. small little,augmented_2
data\include50\augmented_train\MVI_9320_aug3.npy,43,84. small little,augmented_3
data\include50\sequences\Places\35. Bank\MVI_3584.npy,13,35. Bank,original
data\include50\augmented_train\MVI_3584_aug1.npy,13,35. Bank,augmented_1
data\include50\augmented_train\MVI_3584_aug2.npy,13,35. Bank,augmented_2
data\include50\augmented_train\MVI_3584_aug3.npy,13,35. Bank,augmented_3
data\include50\sequences\Places\19. House\MVI_3514.npy,5,19. House,original
data\include50\augmented_train\MVI_3514_aug1.npy,5,19. House,augmented_1
data\include50\augmented_train\MVI_3514_aug2.npy,5,19. House,augmented_2
data\include50\augmented_train\MVI_3514_aug3.npy,5,19. House,augmented_3
data\include50\sequences\Society\2. Death\MVI_8661.npy,6,2. Death,original
data\include50\augmented_train\MVI_8661_aug1.npy,6,2. Death,augmented_1
data\include50\augmented_train\MVI_8661_aug2.npy,6,2. Death,augmented_2
data\include50\augmented_train\MVI_8661_aug3.npy,6,2. Death,augmented_3
data\include50\sequences\Electronics\53. Fan\MVI_4965.npy,26,53. Fan,original
data\include50\augmented_train\MVI_4965_aug1.npy,26,53. Fan,augmented_1
data\include50\augmented_train\MVI_4965_aug2.npy,26,53. Fan,augmented_2
data\include50\augmented_train\MVI_4965_aug3.npy,26,53. Fan,augmented_3
data\include50\sequences\Greetings\55. Thank you\MVI_9948.npy,29,55. Thank you,original
data\include50\augmented_train\MVI_9948_aug1.npy,29,55. Thank you,augmented_1
data\include50\augmented_train\MVI_9948_aug2.npy,29,55. Thank you,augmented_2
data\include50\augmented_train\MVI_9948_aug3.npy,29,55. Thank you,augmented_3
data\include50\sequences\Days_and_Time\78. Year\MVI_9175.npy,38,78. Year,original
data\include50\augmented_train\MVI_9175_aug1.npy,38,78. Year,augmented_1
data\include50\augmented_train\MVI_9175_aug2.npy,38,78. Year,augmented_2
data\include50\augmented_train\MVI_9175_aug3.npy,38,78. Year,augmented_3
data\include50\sequences\Pronouns\46. you (plural)\MVI_9908.npy,21,46. you (plural),original
data\include50\augmented_train\MVI_9908_aug1.npy,21,46. you (plural),augmented_1
data\include50\augmented_train\MVI_9908_aug2.npy,21,46. you (plural),augmented_2
data\include50\augmented_train\MVI_9908_aug3.npy,21,46. you (plural),augmented_3
data\include50\sequences\Adjectives\79. short\MVI_9382.npy,40,79. short,original
data\include50\augmented_train\MVI_9382_aug1.npy,40,79. short,augmented_1
data\include50\augmented_train\MVI_9382_aug2.npy,40,79. short,augmented_2
data\include50\augmented_train\MVI_9382_aug3.npy,40,79. short,augmented_3
data\include50\sequences\Adjectives\87. hot\MVI_9330.npy,45,87. hot,original
data\include50\augmented_train\MVI_9330_aug1.npy,45,87. hot,augmented_1
data\include50\augmented_train\MVI_9330_aug2.npy,45,87. hot,augmented_2
data\include50\augmented_train\MVI_9330_aug3.npy,45,87. hot,augmented_3
data\include50\sequences\Adjectives\87. hot\MVI_5136.npy,45,87. hot,original
data\include50\augmented_train\MVI_5136_aug1.npy,45,87. hot,augmented_1
data\include50\augmented_train\MVI_5136_aug2.npy,45,87. hot,augmented_2
data\include50\augmented_train\MVI_5136_aug3.npy,45,87. hot,augmented_3
data\include50\sequences\Adjectives\97. dry\MVI_9360.npy,49,97. dry,original
data\include50\augmented_train\MVI_9360_aug1.npy,49,97. dry,augmented_1
data\include50\augmented_train\MVI_9360_aug2.npy,49,97. dry,augmented_2
data\include50\augmented_train\MVI_9360_aug3.npy,49,97. dry,augmented_3
data\include50\sequences\Greetings\51. Good Morning\MVI_9935.npy,25,51. Good Morning,original
data\include50\augmented_train\MVI_9935_aug1.npy,25,51. Good Morning,augmented_1
data\include50\augmented_train\MVI_9935_aug2.npy,25,51. Good Morning,augmented_2
data\include50\augmented_train\MVI_9935_aug3.npy,25,51. Good Morning,augmented_3
data\include50\sequences\People\66. Brother\MVI_3778.npy,34,66. Brother,original
data\include50\augmented_train\MVI_3778_aug1.npy,34,66. Brother,augmented_1
data\include50\augmented_train\MVI_3778_aug2.npy,34,66. Brother,augmented_2
data\include50\augmented_train\MVI_3778_aug3.npy,34,66. Brother,augmented_3
data\include50\sequences\Seasons\64. Fall\MVI_5436.npy,33,64. Fall,original
data\include50\augmented_train\MVI_5436_aug1.npy,33,64. Fall,augmented_1
data\include50\augmented_train\MVI_5436_aug2.npy,33,64. Fall,augmented_2
data\include50\augmented_train\MVI_5436_aug3.npy,33,64. Fall,augmented_3
data\include50\sequences\Greetings\51. Good Morning\MVI_0046.npy,25,51. Good Morning,original
data\include50\augmented_train\MVI_0046_aug1.npy,25,51. Good Morning,augmented_1
data\include50\augmented_train\MVI_0046_aug2.npy,25,51. Good Morning,augmented_2
data\include50\augmented_train\MVI_0046_aug3.npy,25,51. Good Morning,augmented_3
data\include50\sequences\Adjectives\91. new\MVI_9422.npy,47,91. new,original
data\include50\augmented_train\MVI_9422_aug1.npy,47,91. new,augmented_1
data\include50\augmented_train\MVI_9422_aug2.npy,47,91. new,augmented_2
data\include50\augmented_train\MVI_9422_aug3.npy,47,91. new,augmented_3
data\include50\sequences\Places\28. Store or Shop\MVI_3386.npy,9,28. Store or Shop,original
data\include50\augmented_train\MVI_3386_aug1.npy,9,28. Store or Shop,augmented_1
data\include50\augmented_train\MVI_3386_aug2.npy,9,28. Store or Shop,augmented_2
data\include50\augmented_train\MVI_3386_aug3.npy,9,28. Store or Shop,augmented_3
data\include50\sequences\People\77. Boy\MVI_5134.npy,36,77. Boy,original
data\include50\augmented_train\MVI_5134_aug1.npy,36,77. Boy,augmented_1
data\include50\augmented_train\MVI_5134_aug2.npy,36,77. Boy,augmented_2
data\include50\augmented_train\MVI_5134_aug3.npy,36,77. Boy,augmented_3
data\include50\sequences\People\78. Girl\MVI_5137.npy,37,78. Girl,original
data\include50\augmented_train\MVI_5137_aug1.npy,37,78. Girl,augmented_1
data\include50\augmented_train\MVI_5137_aug2.npy,37,78. Girl,augmented_2
data\include50\augmented_train\MVI_5137_aug3.npy,37,78. Girl,augmented_3
data\include50\sequences\Adjectives\83. big large\MVI_9316.npy,41,83. big large,original
data\include50\augmented_train\MVI_9316_aug1.npy,41,83. big large,augmented_1
