video_path,sequence_path,folder_label,class_id,archive
Places/28. Store or Shop/MVI_3552.MOV,data/include50/sequences/Places/28. Store or Shop/MVI_3552.npy,28. Store or Shop,9,Places_3of4.zip
Clothes/44. Shoes/MVI_4888.MOV,data/include50/sequences/Clothes/44. Shoes/MVI_4888.npy,44. Shoes,19,Clothes_2of2.zip
Adjectives/78. long/MVI_9298.MOV,data/include50/sequences/Adjectives/78. long/MVI_9298.npy,78. long,39,Adjectives_4of8.zip
Adjectives/79. short/MVI_9302.MOV,data/include50/sequences/Adjectives/79. short/MVI_9302.npy,79. short,40,Adjectives_4of8.zip
Greetings/55. Thank you/MVI_0112.MOV,data/include50/sequences/Greetings/55. Thank you/MVI_0112.npy,55. Thank you,29,Greetings_2of2.zip
Clothes/44. Shoes/MVI_3711.MOV,data/include50/sequences/Clothes/44. Shoes/MVI_3711.npy,44. Shoes,19,Clothes_2of2.zip
Adjectives/1. loud/MVI_5177.MOV,data/include50/sequences/Adjectives/1. loud/MVI_5177.npy,1. loud,1,Adjectives_1of8.zip
Animals/5. Cow/MVI_3016.MOV,data/include50/sequences/Animals/5. Cow/MVI_3016.npy,5. Cow,24,Animals_1of2.zip
Colours/54. Black/MVI_3888.MOV,data/include50/sequences/Colours/54. Black/MVI_3888.npy,54. Black,27,Colours_2of2.zip
Jobs/91. Priest/MVI_5345.MOV,data/include50/sequences/Jobs/91. Priest/MVI_5345.npy,91. Priest,46,Jobs_1of2.zip
Clothes/44. Shoes/MVI_4204.MOV,data/include50/sequences/Clothes/44. Shoes/MVI_4204.npy,44. Shoes,19,Clothes_2of2.zip
Days_and_Time/67. Monday/MVI_5009.MOV,data/include50/sequences/Days_and_Time/67. Monday/MVI_5009.npy,67. Monday,35,Days_and_Time_1of3.zip
Society/14. Election/MVI_8713.MP4,data/include50/sequences/Society/14. Election/MVI_8713.npy,14. Election,3,Society_2of3.zip
Jobs/84. Teacher/MVI_8866.MP4,data/include50/sequences/Jobs/84. Teacher/MVI_8866.npy,84. Teacher,42,Jobs_1of2.zip
Adjectives/97. dry/MVI_5250.MOV,data/include50/sequences/Adjectives/97. dry/MVI_5250.npy,97. dry,49,Adjectives_8of8.zip
People/66. Brother/MVI_4076.MOV,data/include50/sequences/People/66. Brother/MVI_4076.npy,66. Brother,34,People_2of5.zip
Clothes/42. T-Shirt/MVI_4002.MOV,data/include50/sequences/Clothes/42. T-Shirt/MVI_4002.npy,42. T-Shirt,18,Clothes_2of2.zip
Means_of_Transportation/16. train ticket/MVI_4192.MOV,data/include50/sequences/Means_of_Transportation/16. train ticket/MVI_4192.npy,16. train ticket,4,Means_of_Transportation_2of2.zip
Colours/55. White/MVI_8620.MP4,data/include50/sequences/Colours/55. White/MVI_8620.npy,55. White,30,Colours_2of2.zip
Days_and_Time/86. Time/MVI_5079.MOV,data/include50/sequences/Days_and_Time/86. Time/MVI_5079.npy,86. Time,44,Days_and_Time_3of3.zip
Greetings/48. Hello/MVI_9982.MOV,data/include50/sequences/Greetings/48. Hello/MVI_9982.npy,48. Hello,23,Greetings_1of2.zip
Animals/5. Cow/MVI_3074.MOV,data/include50/sequences/Animals/5. Cow/MVI_3074.npy,5. Cow,24,Animals_1of2.zip
Electronics/54. Cell phone/MVI_5391.MOV,data/include50/sequences/Electronics/54. Cell phone/MVI_5391.npy,54. Cell phone,28,Electronics_1of2.zip
Days_and_Time/67. Monday/MVI_9143.MP4,data/include50/sequences/Days_and_Time/67. Monday/MVI_9143.npy,67. Monday,35,Days_and_Time_1of3.zip
Pronouns/44. it/MVI_0014.MOV,data/include50/sequences/Pronouns/44. it/MVI_0014.npy,44. it,20,Pronouns_1of2.zip
Pronouns/40. I/MVI_0014.MOV,data/include50/sequences/Pronouns/40. I/MVI_0014.npy,40. I,16,Pronouns_1of2.zip
Animals/4. Bird/MVI_3012.MOV,data/include50/sequences/Animals/4. Bird/MVI_3012.npy,4. Bird,15,Animals_1of2.zip
Places/28. Store or Shop/MVI_3472.MOV,data/include50/sequences/Places/28. Store or Shop/MVI_3472.npy,28. Store or Shop,9,Places_3of4.zip
Greetings/48. Hello/MVI_0030.MOV,data/include50/sequences/Greetings/48. Hello/MVI_0030.npy,48. Hello,23,Greetings_1of2.zip
Animals/4. Bird/MVI_3094.MOV,data/include50/sequences/Animals/4. Bird/MVI_3094.npy,4. Bird,15,Animals_1of2.zip
Means_of_Transportation/11. Car/MVI_3176.MOV,data/include50/sequences/Means_of_Transportation/11. Car/MVI_3176.npy,11. Car,2,Means_of_Transportation_1of2.zip
Adjectives/79. short/MVI_5190.MOV,data/include50/sequences/Adjectives/79. short/MVI_5190.npy,79. short,40,Adjectives_4of8.zip
Colours/47. Red/MVI_5184.MOV,data/include50/sequences/Colours/47. Red/MVI_5184.npy,47. Red,22,Colours_1of2.zip
Home/34. Pen/MVI_8791.MP4,data/include50/sequences/Home/34. Pen/MVI_8791.npy,34. Pen,12,Home_2of4.zip
Colours/47. Red/MVI_5186.MOV,data/include50/sequences/Colours/47. Red/MVI_5186.npy,47. Red,22,Colours_1of2.zip
Means_of_Transportation/11. Car/MVI_3238.MOV,data/include50/sequences/Means_of_Transportation/11. Car/MVI_3238.npy,11. Car,2,Means_of_Transportation_1of2.zip
Adjectives/84. small little/MVI_9320.MOV,data/include50/sequences/Adjectives/84. small little/MVI_9320.npy,84. small little,43,Adjectives_5of8.zip
Places/35. Bank/MVI_3584.MOV,data/include50/sequences/Places/35. Bank/MVI_3584.npy,35. Bank,13,Places_4of4.zip
Places/19. House/MVI_3514.MOV,data/include50/sequences/Places/19. House/MVI_3514.npy,19. House,5,Places_1of4.zip
Society/2. Death/MVI_8661.MP4,data/include50/sequences/Society/2. Death/MVI_8661.npy,2. Death,6,Society_1of3.zip
Electronics/53. Fan/MVI_4965.MOV,data/include50/sequences/Electronics/53. Fan/MVI_4965.npy,53. Fan,26,Electronics_1of2.zip
Greetings/55. Thank you/MVI_9948.MOV,data/include50/sequences/Greetings/55. Thank you/MVI_9948.npy,55. Thank you,29,Greetings_2of2.zip
Days_and_Time/78. Year/MVI_9175.MP4,data/include50/sequences/Days_and_Time/78. Year/MVI_9175.npy,78. Year,38,Days_and_Time_2of3.zip
Pronouns/46. you (plural)/MVI_9908.MOV,data/include50/sequences/Pronouns/46. you (plural)/MVI_9908.npy,46. you (plural),21,Pronouns_2of2.zip
Adjectives/79. short/MVI_9382.MOV,data/include50/sequences/Adjectives/79. short/MVI_9382.npy,79. short,40,Adjectives_4of8.zip
Adjectives/87. hot/MVI_9330.MOV,data/include50/sequences/Adjectives/87. hot/MVI_9330.npy,87. hot,45,Adjectives_6of8.zip
Adjectives/87. hot/MVI_5136.MOV,data/include50/sequences/Adjectives/87. hot/MVI_5136.npy,87. hot,45,Adjectives_6of8.zip
Adjectives/97. dry/MVI_9360.MOV,data/include50/sequences/Adjectives/97. dry/MVI_9360.npy,97. dry,49,Adjectives_8of8.zip
Greetings/51. Good Morning/MVI_9935.MOV,data/include50/sequences/Greetings/51. Good Morning/MVI_9935.npy,51. Good Morning,25,Greetings_1of2.zip
People/66. Brother/MVI_3778.MOV,data/include50/sequences/People/66. Brother/MVI_3778.npy,66. Brother,34,People_2of5.zip
Seasons/64. Fall/MVI_5436.MOV,data/include50/sequences/Seasons/64. Fall/MVI_5436.npy,64. Fall,33,Seasons_1of1.zip
Greetings/51. Good Morning/MVI_0046.MOV,data/include50/sequences/Greetings/51. Good Morning/MVI_0046.npy,51. Good Morning,25,Greetings_1of2.zip
Adjectives/91. new/MVI_9422.MOV,data/include50/sequences/Adjectives/91. new/MVI_9422.npy,91. new,47,Adjectives_6of8.zip
Places/28. Store or Shop/MVI_3386.MOV,data/include50/sequences/Places/28. Store or Shop/MVI_3386.npy,28. Store or Shop,9,Places_3of4.zip
People/77. Boy/MVI_5134.MOV,data/include50/sequences/People/77. Boy/MVI_5134.npy,77. Boy,36,People_4of5.zip
People/78. Girl/MVI_5137.MOV,data/include50/sequences/People/78. Girl/MVI_5137.npy,78. Girl,37,People_4of5.zip
Adjectives/83. big large/MVI_9316.MOV,data/include50/sequences/Adjectives/83. big large/MVI_9316.npy,83. big large,41,Adjectives_5of8.zip
Animals/5. Cow/MVI_4160.MOV,data/include50/sequences/Animals/5. Cow/MVI_4160.npy,5. Cow,24,Animals_1of2.zip
Clothes/42. T-Shirt/MVI_4882.MOV,data/include50/sequences/Clothes/42. T-Shirt/MVI_4882.npy,42. T-Shirt,18,Clothes_2of2.zip
Pronouns/46. you (plural)/MVI_0084.MOV,data/include50/sequences/Pronouns/46. you (plural)/MVI_0084.npy,46. you (plural),21,Pronouns_2of2.zip
Clothes/44. Shoes/MVI_3712.MOV,data/include50/sequences/Clothes/44. Shoes/MVI_3712.npy,44. Shoes,19,Clothes_2of2.zip
People/77. Boy/MVI_4110.MOV,data/include50/sequences/People/77. Boy/MVI_4110.npy,77. Boy,36,People_4of5.zip
Adjectives/87. hot/MVI_9487.MOV,data/include50/sequences/Adjectives/87. hot/MVI_9487.npy,87. hot,45,Adjectives_6of8.zip
Places/19. House/MVI_3593.MOV,data/include50/sequences/Places/19. House/MVI_3593.npy,19. House,5,Places_1of4.zip
Jobs/91. Priest/MVI_5342.MOV,data/include50/sequences/Jobs/91. Priest/MVI_5342.npy,91. Priest,46,Jobs_1of2.zip
Electronics/53. Fan/MVI_4534.MOV,data/include50/sequences/Electronics/53. Fan/MVI_4534.npy,53. Fan,26,Electronics_1of2.zip
Days_and_Time/78. Year/MVI_4635.MOV,data/include50/sequences/Days_and_Time/78. Year/MVI_4635.npy,78. Year,38,Days_and_Time_2of3.zip
Jobs/91. Priest/MVI_4490.MOV,data/include50/sequences/Jobs/91. Priest/MVI_4490.npy,91. Priest,46,Jobs_1of2.zip
Pronouns/44. it/MVI_0013.MOV,data/include50/sequences/Pronouns/44. it/MVI_0013.npy,44. it,20,Pronouns_1of2.zip
Greetings/51. Good Morning/MVI_9969.MOV,data/include50/sequences/Greetings/51. Good Morning/MVI_9969.npy,51. Good Morning,25,Greetings_1of2.zip
Home/40. Paint/MVI_9051.MP4,data/include50/sequences/Home/40. Paint/MVI_9051.npy,40. Paint,17,Home_3of4.zip
Seasons/64. Fall/MVI_5001.MOV,data/include50/sequences/Seasons/64. Fall/MVI_5001.npy,64. Fall,33,Seasons_1of1.zip
Home/34. Pen/MVI_9032.MP4,data/include50/sequences/Home/34. Pen/MVI_9032.npy,34. Pen,12,Home_2of4.zip
Adjectives/2. quiet/MVI_5180.MOV,data/include50/sequences/Adjectives/2. quiet/MVI_5180.npy,2. quiet,7,Adjectives_1of8.zip
Colours/47. Red/MVI_4018.MOV,data/include50/sequences/Colours/47. Red/MVI_4018.npy,47. Red,22,Colours_1of2.zip
Pronouns/46. you (plural)/MVI_9977.MOV,data/include50/sequences/Pronouns/46. you (plural)/MVI_9977.npy,46. you (plural),21,Pronouns_2of2.zip
Society/14. Election/MVI_4305.MOV,data/include50/sequences/Society/14. Election/MVI_4305.npy,14. Election,3,Society_2of3.zip
People/77. Boy/MVI_4242.MOV,data/include50/sequences/People/77. Boy/MVI_4242.npy,77. Boy,36,People_4of5.zip
Seasons/61. Summer/MVI_4568.MOV,data/include50/sequences/Seasons/61. Summer/MVI_4568.npy,61. Summer,32,Seasons_1of1.zip
Colours/55. White/MVI_4921.MOV,data/include50/sequences/Colours/55. White/MVI_4921.npy,55. White,30,Colours_2of2.zip
Pronouns/44. it/MVI_9898.MOV,data/include50/sequences/Pronouns/44. it/MVI_9898.npy,44. it,20,Pronouns_1of2.zip
Colours/55. White/MVI_5062.MOV,data/include50/sequences/Colours/55. White/MVI_5062.npy,55. White,30,Colours_2of2.zip
Days_and_Time/86. Time/MVI_9202.MP4,data/include50/sequences/Days_and_Time/86. Time/MVI_9202.npy,86. Time,44,Days_and_Time_3of3.zip
Adjectives/97. dry/MVI_9522.MOV,data/include50/sequences/Adjectives/97. dry/MVI_9522.npy,97. dry,49,Adjectives_8of8.zip
Seasons/61. Summer/MVI_5422.MOV,data/include50/sequences/Seasons/61. Summer/MVI_5422.npy,61. Summer,32,Seasons_1of1.zip
Society/2. Death/MVI_8932.MP4,data/include50/sequences/Society/2. Death/MVI_8932.npy,2. Death,6,Society_1of3.zip
Animals/5. Cow/MVI_3075.MOV,data/include50/sequences/Animals/5. Cow/MVI_3075.npy,5. Cow,24,Animals_1of2.zip
People/66. Brother/MVI_5095.MOV,data/include50/sequences/People/66. Brother/MVI_5095.npy,66. Brother,34,People_2of5.zip
Home/34. Pen/MVI_4389.MOV,data/include50/sequences/Home/34. Pen/MVI_4389.npy,34. Pen,12,Home_2of4.zip
Means_of_Transportation/11. Car/MVI_8584.MP4,data/include50/sequences/Means_of_Transportation/11. Car/MVI_8584.npy,11. Car,2,Means_of_Transportation_1of2.zip
People/77. Boy/MVI_5286.MOV,data/include50/sequences/People/77. Boy/MVI_5286.npy,77. Boy,36,People_4of5.zip
People/61. Father/MVI_5080.MOV,data/include50/sequences/People/61. Father/MVI_5080.npy,61. Father,31,People_1of5.zip
Adjectives/94. good/MVI_9510.MOV,data/include50/sequences/Adjectives/94. good/MVI_9510.npy,94. good,48,Adjectives_7of8.zip
Adjectives/94. good/MVI_5316.MOV,data/include50/sequences/Adjectives/94. good/MVI_5316.npy,94. good,48,Adjectives_7of8.zip
People/61. Father/MVI_5227.MOV,data/include50/sequences/People/61. Father/MVI_5227.npy,61. Father,31,People_1of5.zip
Adjectives/1. loud/MVI_9448.MOV,data/include50/sequences/Adjectives/1. loud/MVI_9448.npy,1. loud,1,Adjectives_1of8.zip
Adjectives/3. happy/MVI_5264.MOV,data/include50/sequences/Adjectives/3. happy/MVI_5264.npy,3. happy,11,Adjectives_1of8.zip
Clothes/37. Hat/MVI_3835.MOV,data/include50/sequences/Clothes/37. Hat/MVI_3835.npy,37. Hat,14,Clothes_1of2.zip
Clothes/44. Shoes/MVI_5028.MOV,data/include50/sequences/Clothes/44. Shoes/MVI_5028.npy,44. Shoes,19,Clothes_2of2.zip
Society/14. Election/MVI_8710.MP4,data/include50/sequences/Society/14. Election/MVI_8710.npy,14. Election,3,Society_2of3.zip
Days_and_Time/86. Time/MVI_4669.MOV,data/include50/sequences/Days_and_Time/86. Time/MVI_4669.npy,86. Time,44,Days_and_Time_3of3.zip
Places/35. Bank/MVI_3336.MOV,data/include50/sequences/Places/35. Bank/MVI_3336.npy,35. Bank,13,Places_4of4.zip
Home/28. Window/MVI_4364.MOV,data/include50/sequences/Home/28. Window/MVI_4364.npy,28. Window,10,Home_1of4.zip
Adjectives/79. short/MVI_9221.MOV,data/include50/sequences/Adjectives/79. short/MVI_9221.npy,79. short,40,Adjectives_4of8.zip
Means_of_Transportation/11. Car/MVI_3117.MOV,data/include50/sequences/Means_of_Transportation/11. Car/MVI_3117.npy,11. Car,2,Means_of_Transportation_1of2.zip
Adjectives/84. small little/MVI_9237.MOV,data/include50/sequences/Adjectives/84. small little/MVI_9237.npy,84. small little,43,Adjectives_5of8.zip
Places/35. Bank/MVI_3335.MOV,data/include50/sequences/Places/35. Bank/MVI_3335.npy,35. Bank,13,Places_4of4.zip
Places/35. Bank/MVI_3501.MOV,data/include50/sequences/Places/35. Bank/MVI_3501.npy,35. Bank,13,Places_4of4.zip
Adjectives/83. big large/MVI_5124.MOV,data/include50/sequences/Adjectives/83. big large/MVI_5124.npy,83. big large,41,Adjectives_5of8.zip
Home/40. Paint/MVI_8818.MP4,data/include50/sequences/Home/40. Paint/MVI_8818.npy,40. Paint,17,Home_3of4.zip
Home/34. Pen/MVI_8793.MP4,data/include50/sequences/Home/34. Pen/MVI_8793.npy,34. Pen,12,Home_2of4.zip
Animals/1. Dog/MVI_2979.MOV,data/include50/sequences/Animals/1. Dog/MVI_2979.npy,1. Dog,0,Animals_1of2.zip
Adjectives/79. short/MVI_9222.MOV,data/include50/sequences/Adjectives/79. short/MVI_9222.npy,79. short,40,Adjectives_4of8.zip
Clothes/42. T-Shirt/MVI_3851.MOV,data/include50/sequences/Clothes/42. T-Shirt/MVI_3851.npy,42. T-Shirt,18,Clothes_2of2.zip
Places/23. Court/MVI_3531.MOV,data/include50/sequences/Places/23. Court/MVI_3531.npy,23. Court,8,Places_2of4.zip
Adjectives/1. loud/MVI_5179.MOV,data/include50/sequences/Adjectives/1. loud/MVI_5179.npy,1. loud,1,Adjectives_1of8.zip
People/66. Brother/MVI_4075.MOV,data/include50/sequences/People/66. Brother/MVI_4075.npy,66. Brother,34,People_2of5.zip
Society/14. Election/MVI_8711.MP4,data/include50/sequences/Society/14. Election/MVI_8711.npy,14. Election,3,Society_2of3.zip
Clothes/42. T-Shirt/MVI_5170.MOV,data/include50/sequences/Clothes/42. T-Shirt/MVI_5170.npy,42. T-Shirt,18,Clothes_2of2.zip
Adjectives/91. new/MVI_5150.MOV,data/include50/sequences/Adjectives/91. new/MVI_5150.npy,91. new,47,Adjectives_6of8.zip
Adjectives/94. good/MVI_5238.MOV,data/include50/sequences/Adjectives/94. good/MVI_5238.npy,94. good,48,Adjectives_7of8.zip
Colours/54. Black/MVI_3740.MOV,data/include50/sequences/Colours/54. Black/MVI_3740.npy,54. Black,27,Colours_2of2.zip
Adjectives/91. new/MVI_5148.MOV,data/include50/sequences/Adjectives/91. new/MVI_5148.npy,91. new,47,Adjectives_6of8.zip
Adjectives/1. loud/MVI_9369.MOV,data/include50/sequences/Adjectives/1. loud/MVI_9369.npy,1. loud,1,Adjectives_1of8.zip
Places/23. Court/MVI_3284.MOV,data/include50/sequences/Places/23. Court/MVI_3284.npy,23. Court,8,Places_2of4.zip
People/77. Boy/MVI_3814.MOV,data/include50/sequences/People/77. Boy/MVI_3814.npy,77. Boy,36,People_4of5.zip
People/61. Father/MVI_3910.MOV,data/include50/sequences/People/61. Father/MVI_3910.npy,61. Father,31,People_1of5.zip
Colours/54. Black/MVI_4920.MOV,data/include50/sequences/Colours/54. Black/MVI_4920.npy,54. Black,27,Colours_2of2.zip
Adjectives/83. big large/MVI_5123.MOV,data/include50/sequences/Adjectives/83. big large/MVI_5123.npy,83. big large,41,Adjectives_5of8.zip
Home/40. Paint/MVI_4926.MOV,data/include50/sequences/Home/40. Paint/MVI_4926.npy,40. Paint,17,Home_3of4.zip
Adjectives/1. loud/MVI_5257.MOV,data/include50/sequences/Adjectives/1. loud/MVI_5257.npy,1. loud,1,Adjectives_1of8.zip
Means_of_Transportation/16. train ticket/MVI_3224.MOV,data/include50/sequences/Means_of_Transportation/16. train ticket/MVI_3224.npy,16. train ticket,4,Means_of_Transportation_2of2.zip
Means_of_Transportation/11. Car/MVI_3239.MOV,data/include50/sequences/Means_of_Transportation/11. Car/MVI_3239.npy,11. Car,2,Means_of_Transportation_1of2.zip
Electronics/53. Fan/MVI_4966.MOV,data/include50/sequences/Electronics/53. Fan/MVI_4966.npy,53. Fan,26,Electronics_1of2.zip
Pronouns/46. you (plural)/MVI_0082.MOV,data/include50/sequences/Pronouns/46. you (plural)/MVI_0082.npy,46. you (plural),21,Pronouns_2of2.zip
Colours/54. Black/MVI_5060.MOV,data/include50/sequences/Colours/54. Black/MVI_5060.npy,54. Black,27,Colours_2of2.zip
Adjectives/78. long/MVI_9219.MOV,data/include50/sequences/Adjectives/78. long/MVI_9219.npy,78. long,39,Adjectives_4of8.zip
People/66. Brother/MVI_5243.MOV,data/include50/sequences/People/66. Brother/MVI_5243.npy,66. Brother,34,People_2of5.zip
Places/23. Court/MVI_3366.MOV,data/include50/sequences/Places/23. Court/MVI_3366.npy,23. Court,8,Places_2of4.zip
Seasons/61. Summer/MVI_5420.MOV,data/include50/sequences/Seasons/61. Summer/MVI_5420.npy,61. Summer,32,Seasons_1of1.zip
People/78. Girl/MVI_4243.MOV,data/include50/sequences/People/78. Girl/MVI_4243.npy,78. Girl,37,People_4of5.zip
Jobs/91. Priest/MVI_5344.MOV,data/include50/sequences/Jobs/91. Priest/MVI_5344.npy,91. Priest,46,Jobs_1of2.zip
Adjectives/87. hot/MVI_9328.MOV,data/include50/sequences/Adjectives/87. hot/MVI_9328.npy,87. hot,45,Adjectives_6of8.zip
Greetings/55. Thank you/MVI_0113.MOV,data/include50/sequences/Greetings/55. Thank you/MVI_0113.npy,55. Thank you,29,Greetings_2of2.zip
Adjectives/83. big large/MVI_5285.MOV,data/include50/sequences/Adjectives/83. big large/MVI_5285.npy,83. big large,41,Adjectives_5of8.zip
Greetings/48. Hello/MVI_9955.MOV,data/include50/sequences/Greetings/48. Hello/MVI_9955.npy,48. Hello,23,Greetings_1of2.zip
Adjectives/78. long/MVI_5107.MOV,data/include50/sequences/Adjectives/78. long/MVI_5107.npy,78. long,39,Adjectives_4of8.zip
Greetings/48. Hello/MVI_0029.MOV,data/include50/sequences/Greetings/48. Hello/MVI_0029.npy,48. Hello,23,Greetings_1of2.zip
Means_of_Transportation/11. Car/MVI_4177.MOV,data/include50/sequences/Means_of_Transportation/11. Car/MVI_4177.npy,11. Car,2,Means_of_Transportation_1of2.zip
Means_of_Transportation/11. Car/MVI_3174.MOV,data/include50/sequences/Means_of_Transportation/11. Car/MVI_3174.npy,11. Car,2,Means_of_Transportation_1of2.zip
Home/28. Window/MVI_9013.MP4,data/include50/sequences/Home/28. Window/MVI_9013.npy,28. Window,10,Home_1of4.zip
Colours/54. Black/MVI_3741.MOV,data/include50/sequences/Colours/54. Black/MVI_3741.npy,54. Black,27,Colours_2of2.zip
Means_of_Transportation/16. train ticket/MVI_4193.MOV,data/include50/sequences/Means_of_Transportation/16. train ticket/MVI_4193.npy,16. train ticket,4,Means_of_Transportation_2of2.zip
Home/28. Window/MVI_8766.MP4,data/include50/sequences/Home/28. Window/MVI_8766.npy,28. Window,10,Home_1of4.zip
Pronouns/40. I/MVI_9957.MOV,data/include50/sequences/Pronouns/40. I/MVI_9957.npy,40. I,16,Pronouns_1of2.zip
Means_of_Transportation/16. train ticket/MVI_3253.MOV,data/include50/sequences/Means_of_Transportation/16. train ticket/MVI_3253.npy,16. train ticket,4,Means_of_Transportation_2of2.zip
Adjectives/94. good/MVI_9430.MOV,data/include50/sequences/Adjectives/94. good/MVI_9430.npy,94. good,48,Adjectives_7of8.zip
Jobs/84. Teacher/MVI_5311.MOV,data/include50/sequences/Jobs/84. Teacher/MVI_5311.npy,84. Teacher,42,Jobs_1of2.zip
Places/19. House/MVI_3351.MOV,data/include50/sequences/Places/19. House/MVI_3351.npy,19. House,5,Places_1of4.zip
Adjectives/94. good/MVI_9270.MOV,data/include50/sequences/Adjectives/94. good/MVI_9270.npy,94. good,48,Adjectives_7of8.zip
Adjectives/2. quiet/MVI_5339.MOV,data/include50/sequences/Adjectives/2. quiet/MVI_5339.npy,2. quiet,7,Adjectives_1of8.zip
Adjectives/83. big large/MVI_9235.MOV,data/include50/sequences/Adjectives/83. big large/MVI_9235.npy,83. big large,41,Adjectives_5of8.zip
Adjectives/2. quiet/MVI_5340.MOV,data/include50/sequences/Adjectives/2. quiet/MVI_5340.npy,2. quiet,7,Adjectives_1of8.zip
Electronics/54. Cell phone/MVI_4539.MOV,data/include50/sequences/Electronics/54. Cell phone/MVI_4539.npy,54. Cell phone,28,Electronics_1of2.zip
